id,checkin,cdate,site_id,user_uuid
1719038,1,2023-07-07 07:11:55.201673,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1716702,2,2023-07-06 15:15:58.761284,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1719956,2,2023-07-07 14:10:41.848998,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1716588,1,2023-07-06 13:09:48.758097,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1719649,1,2023-07-07 10:12:42.083352,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1716712,1,2023-07-06 15:28:39.279318,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1716731,2,2023-07-06 18:17:33.011298,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1719953,1,2023-07-07 14:08:25.192590,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1719535,2,2023-07-07 09:22:36.745763,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1719752,2,2023-07-07 11:09:52.861538,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
1719974,1,2023-07-07 14:24:21.501446,49,cacd0adb-2c87-450f-8a00-2b2ea6b8fa89
2148913,1,2023-12-13 08:18:55.755925,49,b2fb315b-3d32-4a3f-b409-99a633a360e4
2148912,2,2023-12-13 08:18:46.655615,49,b2fb315b-3d32-4a3f-b409-99a633a360e4
2143517,1,2023-12-11 23:00:30.663901,49,b2fb315b-3d32-4a3f-b409-99a633a360e4
2148609,1,2023-12-13 07:01:53.843845,49,b2fb315b-3d32-4a3f-b409-99a633a360e4
2143827,2,2023-12-12 01:04:01.673270,49,b2fb315b-3d32-4a3f-b409-99a633a360e4
2126187,1,2023-12-04 10:18:29.287366,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126637,1,2023-12-04 16:26:44.723292,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126631,1,2023-12-04 16:05:21.178089,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126192,2,2023-12-04 10:19:32.675347,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126682,1,2023-12-04 20:11:53.266455,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2129148,1,2023-12-05 16:57:26.602582,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
